,content,score,at
9206,"Terimakasih AdaKami atas pencairanya, semoga bisa terjalin kerjasama yg berkelanjutan.. jangan kaya aplikasi pinjaman sebelah.. abis di bayar ga bisa pinjam lagi, ga ada kelanjutannya..",5,2020-06-19 03:15:03
6076,"Thanks buat adakami sdh kembali lgi buat membantu, sekian lama ada kendala akhirnya balik lgi normal.,tdk butuh waktu lama dana pun langsung masuk rekening,🤗 Aplikasi paling di andalakn buat membantu masyarakat.,👍👍👍",5,2020-06-20 03:58:03
6460,"Tolong data saya hapus smuanya sya gamau data sya dipake yg ga bener soalnya aneh pas pertama verifikasi data biasa aja jalan normal ga gangguan,, knpa pas mau mengajukan pinjaman jd eror sistem sedang sibuk, aplikasi ini mau nipu mau jual data org lain?",1,2020-06-20 05:01:59
7628,"Pertama mencoba ngajuin akhirnya di tolak juga, aplikasi gak guna, tolong hapus semua data saya jangan sampai di salah gunakan, makasih. Hapus aplikasi nyempit nyempitin doang di hp.",1,2020-06-21 17:04:28
6638,"Keterangan gagal, tapi dapet WA nomor rekening yg anda masukan salah, silahkan masukan ulang rekening anda untuk menerima transferan dana nya, awas ya, kalo sampe menyalahgunakan data saya, jangan main2 sama saya !",1,2020-06-22 10:30:24
3735,"aneh juga system nya... Awal nya saya kasih bintang 5..karena awal memang proses nya cepat, tenor nya bagus, bahkan saya sudah ambil yg 3 bulan, bunga dan admin relatif bagus.. Sudah berulang ulang top Up.. Cepat di setujui.. Eeh sy bayar lebih cepat dr seharus nya.. Malah saya ajukan kembali.. Tiba2 error konection Internet terus dan tiba2 di tolak... Aneh.. Padahal saya sempat di puji puji oleh cost umur service yg telpon.. Bahwa saya nasabah prioritas mereka katanya. Koq malah begini.",3,2020-06-25 06:51:53
9485,Mohon maaf sebelumnya. Saya sudah pengajuan tys d acc. Sesuai jatuh tempo. Lah kok ni coba saya cek kenapa malah aplikasi nya tidak bisa di buka?? Lalu pinjaman saya yg sdah d acc saya membayarnya bagaimana? Tkutnya ujung2 melewati jatuh tempo baru bisa d buka??,1,2020-06-25 07:05:55
7248,"Aplikasi mulai error, jaringan bagus di bilang jaringan bermasalah. Padahal sudah pakai kartu hallo, wifi indihome, sama kartu xl tetap jaringan bermasalah",1,2020-06-25 11:29:13
5319,"Saaat ingin membayar keluar notifikasi jaringan bermasalah tetapi pada saat membuka aplikasi kredit lainnya seperti tunai kita dan home credit masih baikbaik lancar saja, keluhan ini bukan saya saja, mohon infonya dan segera perbaikannya terimakasih",1,2020-06-26 01:20:48
4434,Gimana ini mau bayar sistem aplikasi nya error terus.. jika saya dikenakan biaya keterlambatan saya tidak terima sama sekali karna itikad mau bayar juga sudah ada di kami tp di kalian sistem aplikasi nya pada error.. jd gimana nasabah mau bayar ?! Jgn salahkan nasabah jika nasabah terlambat untuk membayar!!,2,2020-06-26 01:43:30
3623,"Adakami yang terhormat.. saya ingin melakukan pelunasan.. tapi knapa saya tidak bisa membuka aplikasi.. dengan keterangan .. ""ma'af koneksi internet anda tidak stabil"" padahal internet saya cukup stabil.. tolong penjelsan nya..!!",5,2020-06-26 02:41:49
7570,"App.sangat baguss cepat prosesnya cuma kemarin saya hp error' bnyak app.yg gak sengaja kehapus.setelah saya instal lgi knapa gak bisa di buka app.ada kami.padahal tgl 2 udah jatuh tempo,gimana saya bayarnya.mohon bantuannya CS Ada kami.",5,2020-06-26 03:12:46
5953,Tgl jatuh tempo sy 27 juni. Dari tgl 25 juni sy coba tfer tapi tidak berhasil padahal nama sy ada di layar atm. Aplikasi juga tidak bs di buka. Sy sudah email berkali2 tapi tidak di balas. Dari ada kami telp terus tp juga tidak memberi jawaban. Sy telp cs selalu sibuk.. jadi bagaimana sy bs membayar. Sy tidak mau nama sy jelek apalagi kena denda.. tolong segera balas email sy kemana sy harus tfer dan no va berapa !!,2,2020-06-26 04:47:36
5445,"Kenapa pas jatuh tempo sistem eror yah, kalau emang anda bisa menanggung saya gamasalah, tapi udah dicoba beberapa kali masih aja gabisa masuk apk, minta ke pihak CS Wa malah gadirespon, apa mungkin ini mainin jatuh tempo, agar kami membayar berkali"" lipat?",1,2020-06-26 09:48:02
9970,Gagal LogIn terusss.. Katanya Koneksi internetnya Nggak baik.. Mana Ada Orang Buka IG.Youtube.Dan Apk2 lain lancar2 ajah. Ini buka Apk Ini malah kek g2 terus.. Tolong Diperbaiki. Terimaksih,1,2020-06-26 10:25:53
6050,"Tolong ada kami saya mau pembayaran tetapi aplikasi tidak bisa di buka,,,email saya tolong bales dan kirim nomer tlp yang bisa saya hubungi. Saya minta solusinya AdaKami saya ingin melakukan pembayaran tolong email saya di bales secepatnya karena kalauw kena denda bagaimana saya bayarnya dimasa covid ini",2,2020-06-26 17:07:57
6387,"Ini kenapa aplikasinya error gak bisa di buka , trus kalau mau melakukan pembayaran gimana caranya kalau gk bisa di vuka kaya gini, kalau telat bayar jangan salahkan kami , mohon responya thanks",1,2020-06-27 03:20:57
7235,"Aku kasih bintang 5 yah..Menurutku hanya di adakami cara penagihannya yg baik, tidak mengancam dan pengertian.. muda²han selalu seperti itu.. pecairannya juga mudah ..",5,2020-06-27 04:07:30
9453,"Sangat bugus bunga bersahabat, tgl jatuh tempo pembayaran saya hari ini, sms masuk terus untk pelunasan, gimana cara bayarnya, aplikasi eror, saya gak mau kena denda.",5,2020-06-27 04:55:57
6315,"Saya jatuh tempo tgl 29 juni,mau byr hari ini tdk bisa juga ditransfer ato cek aplikasinya, kalo sistem adakami masih error sampai tgl saya jatuh tempo saya gak mau tau saya gak mau dikenakan denda keterlambatan, titik karena ini bukan kesalahan saya...",1,2020-06-27 11:13:42
5888,"Dikirim SMS pemberitahuan aplikasi sedang dalam perbaikan, diminta hubungi CS, dihubungi ga diangkat angkat, aplikasi dibuka tidak ada tampilan, terus GIMANA MAU BAYAR, NO VIRTUAL GA NONGOL DI APLIKASI, NANTI MARAH2 KALAU TELAT, MANA SEBELUM JATUH TEMPO BERISIK NELPONIN. GILIRAN MAU BAYAR APLIKASI TIDAK BERFUNGSI, MAUNYA APA SIH????",2,2020-06-27 17:20:45
9922,"untuk pihak adakami, untuk perbaikan system itu sampai kapan ya? karena saya ingin melunasi pinjaman saya namun terkendala karena tidak bisa masuk ke aplikasi, jika saya terkena denda saya tidak akan membayarnya karena ini bukan kesalahan saya dan saya tidak mau nama saya menjadi tercoreng akibat telat bayar , terima kasih",2,2020-06-28 03:15:39
6173,Laporkan aplikasi ini langsung ke ojk Karna sengaja menutup aplikasi skrng Biar dapat bunga tagihan lebih banyak!!! Padahal kita mau bayar malah gak bisa Biar ditutup aja sekalian Saya gk akan mau bayar denda bunga harian!!,1,2020-06-28 04:33:49
6325,"Yg terhormat adakami...kenapa sistem nya eror terus gimana saya mau melakukan pembayaran kalau gak bisa terus sistem nya,,karena besok saya sudah jatuh tempo..dan jika telat saya tidak mau membayar denda nya karena itu kesalahan dari anda bukan dari saya..mohon lah segera di perbarui",1,2020-06-28 05:47:10
6616,"Sering apply dan tdk pernah bermasalh,tdk pernah juga telat,tiba² sdh 2 bulan ini tidak bisa apply..alasan scoring tdk mencukupi,bgmn cara mencukupinya?...bgmn juga cara submit data tambahan...selama ini jadi nasabah setia,bayar tepat waktu gak di kasih score??...kecewa jadi nasabah,...jika saja jujur karena situasi covid jadi di batasi...saya lebih memaklumi",1,2020-06-28 09:23:02
6742,Tolong dong aplikasinya di buka. Gimana mau bayar kalau aplikasinya tidak bisa di buka. No kontraknya brp saya jadi tidak bisa buat bayar. Kalau udah kena jatuh tempo di kenakan denda per hari besar banget. Seakan-akan ini aplikasi buat orang jadi semakin beban akan bunganya semakin membesar.,2,2020-06-28 15:04:25
6406,"Kenapa aplikasi gak bisa di buka padahal mau bayar. Tertera di tulisan jaringan koneksi gak bagus padahal jaringan saya bagus"" aja ini mah pengen banget saya kena bunga",5,2020-06-28 23:11:17
9840,Halo Ada kami.. Knapa aplikasinya tidak bisa di buka.. Saya mau bayar angsuran saya nihh.. Saya gag mau bayar kalau aplikasi nya gag bisa di buka makasih.. Tolong hubungi saya secepatnya..,1,2020-06-29 01:38:22
6305,ini gimana sih aplikasinya. masa perbaikan udah satu minggu lebih ga ada hasil. ditelp malah ga bisa. tpi saya sering dpt sms dari pinjaman laen. dan telp dari pihak 021-311xxxx sejenis itulah. tiap hari ada 60 telp masuk kayak org gila sperti data saya bocor saja. saya mau lapor ojk aja deh. kalo caranya begini terus. .jgn sampai ya ini hanya permainan dari ada kami. spya kami nasabah terkena denda krena kesalahan kalian,1,2020-06-29 04:27:44
6447,"Bagai mna melakukan pembayaran? App nya gak bsa login sya butuh va alfa sya untuk pembayaran?saya gak pernah telat pembayaran sekarang malah masalah maintenace sya gak perduli dengan denda y, sya byar sesuai dengan tagihan bulanan saya,,,ampun kapok pake app ini",1,2020-06-29 06:33:05
8100,"Hallo ada kami tolong donk dibenerin apk nyq sy jatuh tempo tgl 2 juli,sy mau bayar hr ini..tp ga bs dibuka,Internet anda tdk stabil..sy ga mau ya smpe sy jatuh tempo blum bener apknya..sy ga mau byr denda.trimakasi",4,2020-06-29 07:04:19
6160,"Di email mulai pagi gk ada yg bales 1 pun ditelfin juga sibuk trus kalau misal sudah jatuh tempo dan membayar denda saya tidak mau. , aplikasi apaan ini disaat mau melunasi malah gk bisa masuk ke aplikasi. , kecewa...",1,2020-06-29 07:13:18
9032,Saya mau bayar tapi akses aplikasi tidak bisa s3karang sudah jatuh tempo. sudah email tidak ada tanggapan telp cs tdk ada jawaban. Tolong dong admin .. jgn sampai denda karena kesalahan aplikasi,2,2020-06-29 08:53:19
8222,Waduhhhh nih aplikasi kebapa ya..ada yang tau gak sihhh..udh saya uninstall lalu saya install kembali tapi tetap saja gak bisa di bukaaa..jawab dong pihak aplikasi...beri kami keterangan yang jelas.,2,2020-06-29 11:09:54
8421,"Saya mau bayar, di email sudah di telpon sibuk terus, kalo misalkan saya telat bayar itu kesalahan dari kalian bukan dari saya, bayar aja di persulit cukup SMS aja no VA nya udah di bayar aman kan, gausah banyak drama, awas aja kalo sampe di kenakan bunga ga bakalan di bayar karena ini jelas kesalahan kalian. Kalo mau bayar jangan di persulit udah 4 hari mau bayar kaga bisa bisa, gua tunggu sampe besok kalo misalkan ga ada pemberitahuan gua laporin OJK !!",1,2020-06-29 12:35:28
9807,"Hanya di ada kami tidak ada potongan didepan. Potongan admin. Cuman saran saya bunganya diperkecil sehingga orang mampu mengembalikan pinjaman dengan baik. Dan yang kedua jika telat harus ada solusi perpanjangan waktu. Seperti pegadaian. Yang ketiga, hùbungan pelanggan dengan debitur harus dijaga. Mudah mudahan kedepannya ada kami lebih baik lagii.",5,2020-06-29 23:54:46
4652,"Ini kenapa aplikasiny gak bsa dibuka. Ada pemberitahuan tidak ada jaringan. Sedangkan inter saya normal dan lancar. Saya jadi tidak bsa membayar tagihan saya, dikarnakan nmor rekening pemabayaran ada didalam aplikasi tersebut. Tolong tanggapanya. Saya udah jatuh tempo soalny",1,2020-06-30 06:35:04
5817,Saya telah melunasi Pinjaman Ada Kami dengan menggunakan Aplikasi Super VPN agar bisa masuk ke aplikasi adakami dan jaringan lebih stabil. Alhamdulilah Aplikasi mantap proses pengajuan kembali mudah . Silahkan mencoba. Smga membantu,5,2020-06-30 06:45:59
9119,"Info aja, aplikasi error tidak bisa masuk akun.coba downlod pakai hp lain, sy coba sampai hp yg ke 3, aplikasi bisa di buka normal... Salam panik",4,2020-06-30 09:19:08
6627,"Aplikasi susah dbuka, alasannya kesalahan jaringan internet saya. Padahal jaringan internet bagus, aplikasi lain aja msh bisa berjalan. Lalu bagaimana saya bs bayar, lalu yg telpon saya sistem, bukan manusia, bagaimana saya bs memberikan keluhan kalo yg telponnya robot. Dan tiba2 d tagihan saya ada denda!! Cs yg nagih nya juga bodoh, kaga ngarti2, padahal itu kesalahan perusahaan anda. Bukan kelalaian saya. Udah salah, ngotot pula!!",1,2020-07-01 14:52:37
4062,"Saya rekomendasikan buat yg bener2 lg butuh,, proses cepat.. bunga kecil dibandingkan pinjol sebaigainya. Sekarang limit saya sudah naik dan jatuh temponya juga udah bisa 28 hari. Tq adakami",5,2020-07-02 11:53:07
7584,Bagus proses cepat .dan tanggap pokoknya rekomendasi banget buat yang lagi Bu Bu mendadak coba ajuin aja ke adakami Oner nya cepet respon nya . Semoga selanjutnya limit saya naik dan tempo di perpanjang makasih,5,2020-07-04 01:47:11
9984,"Sementara aku kasi bintang 3 dulu yaa.. Oiyaa beberapa bulan kemaren ajuin pinjaman d acc terus, tapi udah 2bln terakhir ini ajuin pinjaman lagi malah d tolak terus, kenapa ya?? Padahal gak pernah telat bayar, makasih!",3,2020-07-07 06:18:27
9694,"Merupakan aplikasi yg kurang bagus, pengajuan gagal, padahal kita d tempat lain aman2 aja tuk pinjam.. tp tidak dgn aplikasi ini, ini benar2 GK bagus. Kita mau cobain bisa gak, eh ternyata TDK sama sekali.. mohon maaf saya Uninstal lg nih aplikasi'a",1,2020-07-07 10:37:17
5317,"Pengajuan status diterima, namun pencairan pinjaman tidak pernah masuk.. Sekarang ditagih, mana yang telpon bot.. Sudah email, WhatsApp cs juga cuma dibaca.. Tolonglah cek sistem kalian.. Jangan menipu seperti ini..",1,2020-07-08 02:10:56
6732,Saya kasih bintang 5 buat ada kami.walaupun di ACC atau tidak.karena saya pernah menggunakan aplikasi ini..saya sedang mengajukan pinjaman yg kedua.mudah2an saja di ACC.karena saya sangat membutuh kan uang nya.trimalasih adakami.,5,2020-07-08 10:10:54
4195,"Aplikasi pinjol yg recomended banget,setiap mengjukan pinjaman selalu diACC,proses cepet,gk ribet.asalkan bayarnya lancar dan tpat wktu pengajuan selanjutnya pasti langsung di Acc,trimakasih adakami ,sudah membantu disaat membutuhkan dana.bintang 5 ya...",5,2020-07-09 07:07:49
9637,"Saya udah mengirim data2 saya ., Kenapa d tolak .... Padahal data2 saya udh sesuai., Saya ga mau klw data2 milik saya d salah gunakan SANGAT KECEWA !?!!!!",1,2020-07-10 04:26:13
5774,"Ini apk mau.nya apa?? debtcollector jg maunya apa?? datang ke rumah ya datang aja lah silahkan saya di kasih no VA mau saya cicil pas cek apk malah tau"" ke uninstall otomatis, di pencet perbarui"" trus gagal mulu, sekarang udah jdi banyak yg nyicil lewat VA tapi ga berkurang di apk.nya, kalo mau ke rumah ya datang saja lah kebetulan saya nitip uangnya sekalian, jdi saya seperti di ancam mulu setiap hari bgng !!",1,2020-07-11 10:29:06
8381,Sebelumnya saya selalu di acc di aplikasi ini... Tidak pernah telat bayar.. Tp sekarang sudah 2 x pengajuan selalu di tolak ngak tau kenapa.... Padahal data saya tidak ada yg berubah... Kenapa ya????????,1,2020-07-13 14:22:15
5468,"Paraaaah... Daftar bank gak bisa,alasan sudah perna pakai,padahal baru aja daftar... Gimana ceritanya sudah dipakai,misalnya sudah perna dipakai juga gak masalah,kan nama bank sesuai KTP,trus klo gak ada bank lain lagi,gak bisa pinjam ... Tolong data2 saya dihapus,jgan salah gunakan...makasih",1,2020-07-14 03:55:03
9467,Aplikasi apaan nih masa mau buka padahal udah isi data tulisannya jaringan gak stabil terus. Padahal jaringan udah 4G apa harus 5G baru aplikasinya bisa dibuka ? Hahahaa ucuL,1,2020-07-14 07:08:57
6245,"Aplikasi apa ini hanya mencuri data data pribadi saja, saya sudah melengkapi data data dan ketika saya ingin meminjam, masa langsung di pesan, mohon maaf pinjaman anda gagal karna score credit maksudnya apa coba? Alasan ga masuk akal, please yg lain jangan pinjam ke aplikasi ini hanya mencuri data data kalian aja.",1,2020-07-15 03:54:26
9577,"Saya belum bisa kasih bintang karena pengajuan saya ditolak dan harus mengajukan lagi bulan 10 jadi keputusan saya membatalkan pengajuan, dan akan uninstall aplikasi ini. Saya percaya berkas yang sudah di upload tidak akan disalah gunakan, terimakasih atas kerjasamanya",1,2020-07-15 14:35:41
5907,saya kasi bintang 1 aja uda capek2 ngisi data sampai berkali2 tetep gak bisa.. tolong data2 saya di hapus semua... Jangan spai di salah gunakan untuk yg tdk benar.... Masak belom di transfer di suruh ngelunasi.... Gimana caranya bayar wong uang aja belom di transfer... Saya gak jadi pinjam.. data2 saya tolong di hapus...,1,2020-07-16 03:12:35
7398,Setelah mengisi data dan berharap di terima. Tapi ternyata malah di tolak dan di suruh coba kembali 1 bulan kedepan. Mungkin bukan rejeki saya walaupun saya sangat membutuhkan pinjaman ini.,1,2020-07-16 11:36:56
3788,"Terimakasih AdaKami untuk kepercayaannya, aplikasi tidak ribet, bunga ringan pencairan gak sampe 1 jam langsung cair, mohon dibantu pengecekan kenapa setelah saya instal aplikasi ada beberapa miscall ke hp, terimakasih untuk tidak menyebarkan informasi pribadi.",4,2020-07-16 11:52:23
6630,"Saya kasih 5 bintang, apk sngat membantu dan sangat mudah dan cepat , Dalam setuasi seperti ini di saat pinjol yg lain tidak bisa mengajukan pinjaman namun di apk adakami sngat lah mudah,, terima kasih adakami moga sukses dan makin baik lg untuk ke depannya ,,, adakami👍👍👍👍👍👍👍👍👍👍",5,2020-07-16 12:06:47
6877,Aplikasi gak jelas. 😠 Data kurang aman. Menyesal udh download ini. Belum juga pinjem udah di sms setiap hari. Udh di telponin cs nya setiap hari. Aplikasi jelek. Jangan download😡 ngeri data di salh gunakan. karna gak ngerasa melakukan permohonan limit stiap hari. Kapan saya memohon limit 8jt untuk di setujui? . Jadi mending saya hapus aplikasi ini. Aplikasi tidak membantu.,1,2020-07-18 03:11:47
8594,"Saya kasih bintang 5 karna aplikasi ini benar"" real bunga kecil. Gak ribet pengajuan 1 menit langsung cair. Pembayaran gak ribet. Memang TOP ADAKAMI",5,2020-07-19 09:39:16
8172,"Alkhamdulillah walaupun saya baru pertama kali mengajukan kredit di""AdaKami"", saya sangat puas dengan prosesnya yg mudah & cepat serta gak belibet.. pokoknya kalian wajib coba.. 👍👍",5,2020-07-19 21:25:01
8009,"Aku kasih bintang 4 dulu ya, alhmdulillh pengajuanku d setujui, emang aplksi ini sangat bagus, mudah2n kedepannya lebih baik lagi, dan klo pencairan jgn terlalu lama ya....hehe....",4,2020-07-20 02:21:51
7804,"Gimana cara pembayaran nya. Sekira nya saya pinjam 2jt dan dalam waktu pembayaran 2bulan, jadi saya langsung bayar lunas 2jt dan berapa tambahnya itu.??",2,2020-07-20 07:52:22
7614,"Ini koq gada balasan sama sekali dari cs nya?? Apa2an ini apps.. Buang2 data sja buat di download belum isi data langsung di tolak, di arahkan ke apps lain,,,sangat tidak di sarankan teman2,. Jangan buang2 kuota internet anda.,.",1,2020-07-21 05:29:48
6613,Saya mengajukan disuruh nunggu 46 jam. Setelah itu kemarin ada pemberitahuan bahwa angsuran sudah di mulai. Dana ga cair tapi ada tagihan. Tidak membatu malah bikin masalah. Ada wa bahwa dalam 3 jam uang cair. Nyatanya apa uang belum juga cair malah disuruh bayar angsuran. Kecewa saya. Padahal sudah percaya bisa bantu tapi ternyata gak sesuai harapan saya.,1,2020-07-21 06:25:50
6274,"Syarat nya mudah, dan tidak ada potongan saat pinjaman sudah di transfer. Puas dgn pelayanan nya, proses cuma 1hari lebih.sangat membantu saya dgn ada nya pinjaman online ini.makasih ada kami 🤗",4,2020-07-21 07:27:21
6313,"Kepada yg terhormat app Ada kami? Entah kenapa sy ingin sekali masuk dan mengajukan pinjaman ke app ini .dan sy sdh mengajukan data sy pun sdh terlanjur masuk.tp di tolak.dan dsrh mengjukan bln dpn.kl memang nggk di acc,tlng hapus data sy.trima kasih",2,2020-07-22 04:39:51
9072,Apk ada kami parah......saya udah meminjam di sini udah 4 kali dan pembayaran pun tidak pernah telat.......gililiran mau pinjam kembali kok di tolak dengan alasan data tidak lengkap......kalo memang data saya tidak lengkap kenapa 4x pengajuan saya di cairin......nasabah lama pembayaran lancar tapi di permainkan.......tolong di tindak lanjuti untuk sistemnya.....mksh,5,2020-07-22 07:55:37
7263,"Aplikasinya bagus uangnya gampang cair cuma bunganya lumayan, saran saya kalau bisa kasih tgl renggang waktu untuk orang yg ingin mengutang misalnya pembayaran tgl 12 batas waktu paling lama sampai 15",5,2020-07-22 10:09:36
8157,"memang aplikasi pinjaman paling mantap,tenor tinggi .proses cepat. tidak lebih dari sekedar KTP dan 3 nmr org terdekat kita,uang langsung cair,trmksih adakami.",5,2020-07-22 15:39:21
9945,"Makasih ya aplikasi adakami berkat bantuan dari aplikasi adakami saya jadi terbantu karna saya butuh uang ... Sukses selalu buat aplikasi ada kami ,,, semoga pengajuan selanjut nya punya saya di ACC karna saya benar benar lagi butuh uang ???",5,2020-07-22 16:18:11
8849,"Ini pengajuan saya yg ke 8 semoga sdh bisa di acc....sdh 7 x pengajuan ngga pernah di acc, dan ternyata masih aplikasi sampah...baru beberapa detik sdh pengajuan langsung ditolak",1,2020-07-24 07:51:40
8831,"Tadi nya saya mau mengajukan pinjaman, tapi tidak jadi karna limit yg di tawarkan terlalu kecil, kemudian saya logout dan uninstall, tapi kenapa setelah itu banyak sekali saya mendapatkan kode verifikasi seolah"" saya mengajukan pinjaman lain di tempat lain. Saya minta tolong untuk hapus data saya dan jangan di salah gunakan, kalau saya masih mendapat kan sms seperti itu lagi saya akan melaporkan ke ojk dan pihak berwajib, terimakasih.",1,2020-07-25 04:37:50
6583,"Saya bingung lihat aplikasi pinjol yang satu ini.saya terus dapat undangan ,tapi kalau di donwlod selalu di tolak dan di suruh nunggu berapa Minggu lagi,konskwen dong supaya APlikasi ini di minati orang,jangan hanya mau ke untungan dari hasil downlod aplikasi",1,2020-07-25 05:24:31
5852,Sangat puas ... dan bunga nya menurut saya sangat rendah dan tidak menyengsarakan sama sekali .. I LIKE IT .. tapi blm cair sih uang nya cuma sdh d setujui .. kalau sdh cair saya tambah jd bintang 5,4,2020-07-25 23:02:23
7311,"Lumayan ribet tapi ""its ok"" pengajuan pertama disetujui dan prosesnya cepat.. Sukses selalu ada kami semoga selalu bisa membantu",5,2020-07-26 07:21:54
8197,"Saya kasih bintang satu aja,karena baru Ngajukan pinjaman aja Uda gak d setujuin.itupun pinjaman nya cuma 400 RB,jadi tolong ya semua data saya yang saya kirim jangan d salah gunakan.jadi jangan download aplikasi yang gak jelas ini,baru Ngajukan segitu aj ud gak d setujui apa lagi klo pinjaman besar.saya sungguh kecewa dengan aplikasi ini,katanya membantu orang yang lagi butuh kan.",1,2020-07-27 04:48:15
3626,Luar biasalah baru pertama saya meajukan limit sudah oke lah di pinjamin. Sangat membantu buat orang yang membutuhkan. Terimakasih atas kepercayaan nya sukses selalu dan selalu prioritaskan lebih tingkatkan sistem dan kemajuannya demi yang terbaik.,5,2020-07-27 06:12:22
6716,Payah... Sudah lengkapi semua data tapi pinjaman tdk disetujui dan disuruh mengajukan lagi bulan depan dan malah diarahkan ke aplikasi pinjaman lain kalo mau pinjam segera... Auto Hapus aplikasi beginian...,1,2020-07-27 10:30:05
8994,"Tolong data saya dihapus , jangan salah digunakan tolong . baru minjem udah ditolak aja . Parah banget . Padahal ngisi nya udh bener tetep aja ditolak . Awas disalah gunakan datanya . Nyesel saya sama aplikasi ini takutnya datanya disalah gunakan . Ingat ada hukum!!",1,2020-07-27 16:40:11
8245,Terimakasih app adakami kalian sangat menolong saya.. semoga kalian lebih mamtap dan sukses selalu. Klu bisa tenornya lebih panjang lgi sampai 60 hari.,5,2020-07-27 23:11:12
8125,"Aplikasi pembohong katanya bunganya 19% per tahun ternyata setelah saya coba bunganya 23,5% perbulan jangan percaya aplikasi pembohong terpaksa saya hapus lagi nyesel saya download aplikasi ini.dan hari ini CS adakami telpon dan WA mengenai pengajuan saya ngomong panjang lebar mengenai bunga dan sebagainya waktu saya mau ngomong langsung di tutup inu maksudnya apa coba teror2 orang dan saya gak akan pinjam karena bunganya lebih parah daripada rentenir di tempat saya kalau rentenir paling 5-7%",1,2020-07-28 04:10:57
9642,Tolong dong pihak adakami ini gimana tidak ada pemberitahuan pencairan dana tp tiba2 ada sms pinjanan saya jatuh tempo sy buka apk nya bermasalah trs dgn jaringan pdhl apk yg lain lancar semua gimna sy mau mengembalikan uang nya klo apk nya gak bsa d buka smntara telpon dan sms msk trs mengingatkan bhkn sms udah ada yg mau menghubungi kontak darurat..tolong dong ini gimana,4,2020-07-28 15:31:29
6618,"kenapa pengajuan saya untuk yg keu 2x nya di tolak terus dari bulan 5 sampe hari pagi ini saya coba mengajukan alhasil di tolak lagi nunggu lagi bulan dpan barus bisa.. sebelum nya pengajuan saya di bulan 4 di acc dan tidak ada keterlambatan bayar juga. maap saya kurangin nanti kalo di acc baru saya tambahin l, biarkan bintang yg berbicara",2,2020-07-29 00:48:47
1518,Aplikasi nya sangat mudah cepat di setujui .. prosesnya mudah dan cepat .. saya rekomendasiiin untuk kawan2 ..dibandingkan aplikasi lain lebih mudah ADA KAMI disaat lg bnyak wabah jd bs membantu masyarakat untuk yg membutuhkan nya dan bunga nya pun sangat ringan ga mencekik kaya rentenir. Saya sarankan umtuk tmn2 untuk mencoba nya smoga berhasil ...😊😊😊,5,2020-07-29 10:48:47
